uid,is_dynamic,confidence,reasons
928847ca88d746dfaf27a5e296ef71a1,True,1.0,Found 'car' in description; Found 'motorcycle' in description; Found 'motor' in description; Found 'vehicle' in tags; Found 'motorcycle' in tags; Found 'motor' in tags
aa1d778bd11943eca390e7f8a27884fb,False,0.8,Found static keyword 'stone' in description; Found static keyword 'tree' in description; Found static keyword 'stone' in tags; Found static keyword 'tree' in tags
8476c4170df24cf5bbe6967222d1a42d,,0.0,
8ff7f1f2465347cd8b80c9b206c2781e,,0.2,Found 'toy' in name
c786b97d08b94d02a1fa3b87d2e86cf1,,0.0,
139331da744542009f146018fd0e05f4,,0.0,
be2c02614d774f9da672dfdc44015219,,0.2,Found 'robot' in name
efd35e7d21ac482688c294e3b6c9f74e,,0.0,
21d5f90dbc9f4f229b0faa7b56b67f3e,,0.0,
dcd33159a0864de388de3a08f55e604a,,0.0,
a7ad32b5d4d84ee5a40ebbd86da4dbe4,,0.2,Found 'character' in tags
7d6a14874eed48c2b720f0d1adfe6dd9,,0.0,
71c71dd1dc754a8e9a84d43f5f3af7b9,,0.0,
1ce26e72d2dc4c66aca37a8124671a2f,,0.0,
3564578cde5c42279ead680df1619e3c,,0.0,
f9e1f80dab694ef1a3a85f135266c46f,,0.0,
1e782aa8ca9e4dada94aabcb463086ae,,0.0,
abb20cb4f66a4293b15ff7c8c0139e84,,0.0,
d3578149a0f645ecbb03cfedcef594e9,,0.0,
c9154bccd5864490a01ffb1ceaa08985,,0.0,
4344257132d7484fb55bda90b3cdd2f4,,0.0,
34e12dea7baa4adfb97d4d97c7a34fd0,,0.0,
116027be119d45019224a2c31c2f1b19,,0.2,Found 'rig' in description
8f3be836a9a74e859ef467cdc7eca90e,,0.2,Found static keyword 'tree' in description
98d28c2babb24e1284a9e812b6e4921f,,0.0,
9cf3eaf2604b45998cc8d89a8665aff4,,0.0,
12b8439bb0b24c38a49b47d0b5021f51,,0.0,
ac02e94e10cf4e35b80701ab8655130b,,0.0,
01ca4c1d54a04428ae8b4fec45d38071,,0.0,
8e348d4d2f2949cf88bd896a92a4364d,,0.4,Found 'robot' in description; Found 'robot' in tags
13006ef7de0340c1bfd28446aa608401,,0.0,
67eccca31df140dcb3ad549496e77fea,,0.0,
85bc77dc5c1e40caa4f98401513a616a,,0.0,
f37bc2926ce645ddace2feb2f5ac84cc,,0.0,
9e26bddd716541e8a0dc4c52d62027bf,,0.2,Found static keyword 'building' in description
4636284e977d4579ac033a42299bde48,,0.0,
19e61b54ffc146b1aea489f8261100b3,,0.0,
b5df7cd550f64e818943ad96fff7e902,,0.0,
99257e9b3b1443bd91a22d61bfeb7182,,0.0,
c73e1926980847c98b17f65a6f1919ed,,0.2,Found 'anim' in tags
62411693da734fdd97d37ceab494bfd6,,0.2,Found static keyword 'artwork' in description
0e53a38a3c92499e81f28d0e1c6207ce,,0.0,
092bb80346414104abd5cace71892752,,0.0,
a38b6658117e4135ab0374cca4d745b9,,0.4,Found 'car' in description; Found 'bone' in tags
6cfb55bd41d24db298b52b11ad74aa0a,,0.0,
b747cb348028457298c27736e09b9365,,0.0,
bc77a7fc5b5a4e6eb50c275031f726e8,,0.0,
3fff5bbe42bf4ffeb95bbcddb5d39688,,0.4,Found 'toy' in name; Found 'toy' in description
2c381d615ff64c64a8e3913be7f03039,,0.2,Found 'machine' in tags
8e21876a00a445e4addc74f05a97ba1a,,0.0,
2f458badc6a849ce8333956323a937c8,,0.0,
060911a8a1a6491686ab27517d9b8c3c,,0.2,Found 'mech' in tags
5c080b09a2d34678bc9b3b9e49035537,,0.2,Found 'anim' in name
45d83365c0684a5f838e1d662b27d0d3,,0.0,
be94bc8bdab14385b67442df3eaa34ae,,0.2,Found 'plane' in tags
77d3028507ed4631a356aeb0a055a55e,,0.4,Found 'boat' in description; Found static keyword 'stone' in tags; Found static keyword 'sculpture' in tags
891ee0708ce945eabaffeacd5c901a04,,0.4,Found static keyword 'statue' in description; Found static keyword 'statue' in tags
54d696bcc2d3482089ad6ff31cc303e2,,0.0,
ee1267bdb4b74022ad32a1ef6987b0ec,,0.0,
dd8d6b4342c1473bba5cda722484eeb0,,0.2,Found 'character' in description; Found static keyword 'table' in description
d0c4672e5fd14e21a6e244ce39246f57,,0.0,
a6b7a10408ad42e990ea0d78764dc6f2,,0.0,
d4b1bdd4467d43f4b4a9f59aed18ff1d,,0.0,
cc5e84376d594032b5d4ad31108330f5,,0.0,
a8fdd7d563d74d1bac029f1bbaaa53fd,,0.0,
4ff2f29be7f64bde889c52751102e3f9,,0.0,
4fd65ced9aac4c1a9cc974fed30a987e,,0.0,
5a106a92ee4b452ebc48058bc9fc9507,,0.0,
4328dab39fb640b790bb813c881a41f3,,0.0,
84776fa7fe23406985f27186205508ff,,0.0,
786b981333b142e08f6125dcc9b2bf95,,0.0,
7e331e1b5f6848a0a296eebaba555936,,0.0,
6302a9c24dd24960853cd236c20b821a,,0.0,
8f552bb5160841d896d37ba512d93f2e,,0.0,
d8eba60697b14fecbb1fa44cc2e98ef0,,0.2,Found 'character' in description
9cddd7e967b7423483b63b74eae287e8,,0.4,Found 'anim' in name; Found 'animation' in name
a0c216a7de774aba903f441d7899aa02,,0.0,
ab219e0bd40542c3b970d5cbbbeb0861,,0.0,
d9891d2aae664c8a97740fb9d5c414cf,,0.0,
ce0641d489a441d8a2583b49bbc3354e,,0.0,
10891952bdd0488d9269852e0a42df78,,0.0,
8225b526e3504ce7aacd813c2c83233e,,0.0,
fcdb8446c8ef4fc1bdfb1d65fcaf1366,,0.0,
f4606c7f4515472185bd7ca0f513563f,,0.0,
a646531842584f9eb18cb926fdc2effe,,0.0,
50989e731fed4b11ba5b5c63faa2143c,,0.0,
cd4db430210544c892ada5d708fcd40f,,0.0,
18eb48a937b14e56ae02b7da237ad204,,0.4,Found static keyword 'tree' in name; Found 'figure' in description; Found static keyword 'tree' in description
39a16b32565045399e2cbedc2ae60833,,0.0,
fa5ffcb180ea48458945ace96f47ddd9,,0.2,Found 'character' in description
f9cd61ec99fb4a309d2da47b6b0d0014,,0.0,
dacd22d9ff9d40f0a476d2c2bbb30c29,,0.0,
2f12bb2287b747089e82a4296d333946,,0.2,Found 'character' in tags
b358f05d20c649d09b2e491e5ddde48a,,0.0,
8bc2d3459e8243edbde954914cf9469f,,0.0,
04e056fc338346d4850143b71e7923d4,,0.0,
937cec0745864765a76486832408d28a,,0.0,
26dc6203ba4547788dc226fe9addbc46,,0.2,Found 'car' in tags
8954673ca33a45578f27e4b476b81719,,0.0,
65b4185f6e134c6095b92d3fa151b0cb,,0.4,Found 'toy' in tags; Found 'robot' in tags
